Review_Model,Competitor_Flag,HP_Class,Segment,Retailer,Comp_Model,Review_Date,Review_Name,Review_Rating,Review_Rating_Label,Review_Title,Review_Content,Seeding_Flag,Verified_Purchase_Flag,Promotion_Flag,Aggregation_Flag,People_Find_Helpful,Syndicated_Source,Response_Date,Response_Text,Response_Name,URL,Scraping_Date,Country,Orginal_Title,Orginal Title
,Yes,,,Walmart,,2024-08-30,RanJack,5,4-5-star,OfficeJet Pro 9125e works like a champ!,"Our HP OfficeJet Pro 9125e has performed superbly for the month and have we've had it. Initially had a problem with the wireless connection, but turns out it was due to the Microsoft glitch that occurred in July. The printer is a little noisy when powering on, but once completed, prints quietly and quality is excellent. Scanner and copy functions work great. Have not tried the fax functionality, but am sure it's good as well. Very happy with this HP printer and would buy again.",,,,,0,,,,,https://www.walmart.com/reviews/product/5152138188?page=1,2024-10-26,US,,
,Yes,,,Walmart,,2024-08-13,nmbchicago,4,4-5-star,Quick and Sharp Printing,"This printer is a step up from my old Officejet 8610 because it has the two-sided printing.  However, when doing two-sided copying or printing, there are frequent paper jams that sometimes require rebotting the printer.",,,,,0,,,,,https://www.walmart.com/reviews/product/5152138188?page=1,2024-10-26,US,,
,Yes,,,Walmart,,2024-08-19,Edd S,4,4-5-star,Great Capabilities at a Reasonable Price!,"Glad to find a replacement for my failed 8600 series OfficePro!  All the perks and functions you need to act like a professional office model with a smaller footprint.  I did note a few cons, though, in comparison with to my 8600.  More plastic parts allowing 'slop' in critical positioning areas.  A less than precise paper tray positioning/ operation compared with my 8600!  A severely restricted opening to the print head/ ink cartridge access.  Not sure if this model will last as long as my 8600...10+ years!  The display area is smaller and less visible on this model than my 8600.  Also, it does not adjust up or down; you must look at it directly from the front!  The display menu is not as intuitive or as clear as the 8600.  You'll need glasses/ readers before you toss this model in favor of another.  Just my opinion...",,,,,0,,,,,https://www.walmart.com/reviews/product/5152138188?page=1,2024-10-26,US,,
,Yes,,,Walmart,,2024-07-06,Richpink,3,1-2-3-star,Replaced an pld HP Printer with a Newer One,"Replaced an earlier HP printer, an 8520 series, which lasted about four years.  This printer is about the same size so fits on my desk.  Price was reasonable.  It is noisier than the older unit.  Seems like grinding of gears as it starts printing.  It seems slower.  Cartridges are different so all the old HP Instant Ink cartridges are wasted.  But, it is an HP printer that has worked for me in the past, so I stick with them.",,,,,0,,,,,https://www.walmart.com/reviews/product/5152138188?page=1,2024-10-26,US,,
,Yes,,,Walmart,,2024-08-04,Walmart Customer,3,1-2-3-star,Great when it works,Loses wireless connectivity easily. Recovery is long. Difficult to troubleshoot without HP help.,,,,,0,,,,,https://www.walmart.com/reviews/product/5152138188?page=1,2024-10-26,US,,
,Yes,,,Walmart,,2024-08-25,Friedmam,2,1-2-3-star,I have not worked out the bugs yet.,"I was initially impressed with how easy it was to get this thing installed. However, I am having difficulty with it. There are two problems. First, it periodically drops my Wi-Fi and I have to turn it on and off to get the thing connected. I have tried unplugging it. The bottom line is I have to turn it off and on, which is a nuisance. This was not a problem with Printer that was connected to my Wi-Fi before.  I almost never use the fax features. However, the other day, a friend asked me to receive a fax for him and it connected but would not handshake. I can send faxes, but I cannot receive them. I have checked all my connections and can't figure it out. Since I rarely use the feature. I can't spend time on it now.",,,,,0,,,,,https://www.walmart.com/reviews/product/5152138188?page=1,2024-10-26,US,,
,Yes,,,Walmart,,2024-10-05,Bill the disappointed,2,1-2-3-star,Noisy printer,"I am on my second one. The first one made such a racket during ""Startup initialization"", I thought it was going to break apart (Probably would have). The replacement, while a little quieter, still makes what HP considers an acceptable amount of noise. The actual printing and scanning work great. Just be ready for the noise it makes when it parks or positions the print head.",,,,,0,,,,,https://www.walmart.com/reviews/product/5152138188?page=1,2024-10-26,US,,
,Yes,,,Walmart,,2024-08-26,Bob Stone,1,1-2-3-star,Worked for a while - no longer,"Quit working after a couple months. Went thru multiple efforts to diagnose / fix , but it will simply not work.  Have removed & reinstalled it several times. Multiple power down / restart cycles.  Have gone into the menu and reset to all “factory settings” and re-connected to the wi-fi network. Re-installed on the computer & it continues to appear as there, but it does not work. All of this multiple times.

Troubleshooting shows as no driver available. I gave up and just use the old printer (9010) on the network in another room.",,,,,0,,,,,https://www.walmart.com/reviews/product/5152138188?page=1,2024-10-26,US,,
,Yes,,,Walmart,,2024-07-21,Don't buy this,1,1-2-3-star,HP Jet Pro 9120,"This printer is junk!  I loved my 8600 model.  1. You cannot pull the tray out to hold the paper it's entire length when printed.  If you have a lot of pages to print the pages drop off over the edge.  2. It is so slow to print.  It takes 2-3 minutes after I hit print to get the printer to start printing and it drives me crazy! 3. A message comes on my computer every time I hit print that says ""your are out of paper.""  I am not out of paper.  The paper tray cannot be adjusted to hold the paper on all sides, so it slides in the tray.  I have to get up, open the tray, straighten the paper and shut the tray to get it to print. 4.  I constantly get a message that scan is not connected and active to the computer, when it is connected and does work.  Your took away features from the 8600 that worked and substituted features that do not work. 5. When I try to print pictures, because the tray does not hold the paper tight on all sides, the pictures print with uneven borders and crooked.  What is HP thinking?",,,,,0,,,,,https://www.walmart.com/reviews/product/5152138188?page=1,2024-10-26,US,,
,Yes,,,Walmart,,2024-10-16,Cora,1,1-2-3-star,HP Printer experience.,The printer I got had a cartridge jam on setup.  I am having to return it.  I had a frustrating time trying to get HP support.  When I finally did get a chat person I was advised to return it to where I purchased it.  I purchased it online but Walmart said they will help me.  I really liked the advertised features of this printer and it was like my former printer so I thought it would be easier to use.,,,,,0,,,,,https://www.walmart.com/reviews/product/5152138188?page=1,2024-10-26,US,,
,Yes,,,Walmart,,2024-03-25,not happy with printer,1,1-2-3-star,hp 9125 printer,"I bought this because I had an older hp printer this was supposed to be the newest version.
This is cheaply made, can't imagine the paper tray lasting very long without breaking, also I kept getting message that ""no paper"" even though tray was full. It printed slow, was to have legal size however only in feeder not on glass-so it wasn't the same. Very disappointed in this printer quality.  I returned it.",,,,,0,,,,,https://www.walmart.com/reviews/product/5152138188?page=2,2024-10-26,US,,
,Yes,,,Walmart,,2024-09-04,JHT-1,5,4-5-star,HP OfficeJet Pro 9125e Effectively Sets Standard for Medium Sized Offices,"Efficient output in a compact lightweight machine. Easy loading for multiple sheet copying and two-sided printing. Single tray for changing paper sizes, envelopes as well as thicknesses. Trouble free ink cartridge replacement in a simple to access front area. Uncomplicated Control Panel with color readout and touch operated functions. Wi-Fi connections to allow remote access for scanning and printing. Ports for USB, Ethernet and Faxing.",,,,,0,,,,,https://www.walmart.com/reviews/product/5152138188?page=2,2024-10-26,US,,
,Yes,,,Walmart,,2024-03-02,Walmart Customer,5,4-5-star,HAPPY WITH HP 9125e,"I knew this 9125e was going to be a great printer from what I had previously learned about it. So, when HP technical engineer recommended it, it was an easy choice. It's doing really well this first month, especially much easier to use with the HP Easy Share AP I installed on my I-Phone. 
I'm very Happy with this product as I have been an HP printer and ink user for many, many years both at home and at my offices. 
Pharmacist Rick
Rick Bartholomew",,,,,0,,,,,https://www.walmart.com/reviews/product/5152138188?page=2,2024-10-26,US,,
,Yes,,,Walmart,,2024-02-28,Walmart Customer,3,1-2-3-star,My new home printer,"I'm very disappointed with screen - I can not get it bright enough to be able to see anything - I also suggest that the background be white instead of black
Another issue is the fax - when K receive a call on my land like I keep getting the sound like I'm receiving a fax",,,,,0,,,,,https://www.walmart.com/reviews/product/5152138188?page=2,2024-10-26,US,,
,Yes,,,Walmart,,2024-02-28,craigl11,1,1-2-3-star,junk,Brand new printer that needs to be returned because it doesn't work properly,,,,,0,,,,,https://www.walmart.com/reviews/product/5152138188?page=2,2024-10-26,US,,
,Yes,,,Walmart,,2024-07-10,Nitab1,2,1-2-3-star,PRINTER ITSLF,"Do not like printer tray, and all of the unecessary electronic questions features on the menu screen.  Printers should be easy to use, you making them too technical!  Too complex!!",,,,,0,,,,,https://www.walmart.com/reviews/product/5152138188?page=2,2024-10-26,US,,
,Yes,,,Walmart,,2024-06-30,EDGE001,4,4-5-star,Set-up Could Definitely be Improved,"Set-up with printer not ""plug and play"" as described.  I had multiple problems.  First, it gave me multiple notices that 3 of the ink cartridges were missing or damaged.  So, I powered everything off, went out to buy replacements, and when I turned it back on, everything was fine!  Then the set-up had problems finding the printer and communicating with it although it sits right next to the modem.  So, that took additional time to work through.  The printer also shakes more than expected during operation and many of the printer's plastic parts are very flimsy.  So, although I never had to contact Customer Service for help, I had many challenges to overcome during the set-up.  With those behind me, I hope this will be the high-quality printer that I thought I was buying.",,,,,0,,,,,https://www.walmart.com/reviews/product/5152138188?page=2,2024-10-26,US,,
,Yes,,,Walmart,,2024-07-26,"Really, HP?",3,1-2-3-star,"Functions, but disappointed","After a month of use, this definitely is not of the same quality as my OfficeJet 5740 (which is quite old).  It's of lesser substance / quality parts, noisier, rattles and clicks as it gets ready to print.  I use HP Smart to print from my phone, usually doesn't receive the command to print unless I'm sitting right next to it. v It gets the job done eventually, but I'm disappointed with the workmanship.",,,,,0,,,,,https://www.walmart.com/reviews/product/5152138188?page=2,2024-10-26,US,,
,Yes,,,Walmart,,2024-07-10,david,5,4-5-star,"I do NOT need the 'instant ink""   this is cheaper","this is the cheapest version of the HP all in one printer.   They go up in price as you get more 'instant ink'.    what instant ink is, a subscription to getting ink.
YOU do NOT need that with this printer,   I don't print much,   but when i do,  i need it to work,    this will tell me when to buy ink,  and,   i can choose to buy a cartridge of HP ink on my own.
this prints nice,  scans nice  WiFi works well",,,,,0,,,,,https://www.walmart.com/reviews/product/5152138188?page=2,2024-10-26,US,,
,Yes,,,Walmart,,2024-06-28,Tanya,3,1-2-3-star,HP printer,"I love the quality of the prints. Unfortunately it takes 4 different ink cartridges and it takes days and days before the ink refill is delivered and they don't deliver them at once. I think if all of the ink refills were sent at the same time before the ink ran out, I would give the printer 5 stars. Once one ink cartridge runs out you can't use the printer. Once it let me print using only the black ink but lately it won't let me.",,,,,0,,,,,https://www.walmart.com/reviews/product/5152138188?page=2,2024-10-26,US,,
,Yes,,,Walmart,,2024-06-28,Tanya,3,1-2-3-star,HP printer,"I love the quality of the prints. Unfortunately it takes 4 different ink cartridges and it takes days and days before the ink refill is delivered and they don't deliver them at once. I think if all of the ink refills were sent at the same time before the ink ran out, I would give the printer 5 stars. Once one ink cartridge runs out you can't use the printer. Once it let me print using only the black ink but lately it won't let me.",,,,,0,,,,,https://www.walmart.com/reviews/product/5152138188?page=3,2024-10-26,US,,
,Yes,,,Walmart,,2024-07-22,blueridgemtns,4,4-5-star,meets expectations as advertised.,"The printer must remain on at all times.  In our rural area, internet is slow and limited.  Its just another item that takes the use of internet.  You should be able to turn it off, but if you do, you get a message it is off and they need to keep count of the copies you use.",,,,,0,,,,,https://www.walmart.com/reviews/product/5152138188?page=3,2024-10-26,US,,
,Yes,,,Walmart,,2024-06-28,BJor,3,1-2-3-star,Newer doesn't mean better.,"The printer is not user friendly. The three inch dark rectangle that lists the 'menu' is very difficult to read as it is so dark and awkward to access as it is on a printer stand next to the computer. The print is very light. I really liked the HP Photosmart printer that I had to replace. This one doesn't compare in quality, ease of use , etc. I couldn't find any other HP printer to buy and I do like the HP ink program which automatically reads the ink level of the cartridges and sends the needed ink when it is time.",,,,,0,,,,,https://www.walmart.com/reviews/product/5152138188?page=3,2024-10-26,US,,
,Yes,,,Walmart,,2024-08-31,Cliff Jr 4230,1,1-2-3-star,Very poor results due to mandatory security software and very complicated to setup and use !!!,"Too much security, very complicated to set up and use, security should be an option not mandatory, I do not recommend this printer or any other HP printer at this time !!",,,,,0,,,,,https://www.walmart.com/reviews/product/5152138188?page=3,2024-10-26,US,,
,Yes,,,Walmart,,2024-09-01,Julie,4,4-5-star,,"I cannot give higher ratings because we have not had it long.  So far so good. However, if you do NOT want it wireless, the sticker is hiding the port!",,,,,0,,,,,https://www.walmart.com/reviews/product/5152138188?page=3,2024-10-26,US,,
,Yes,,,Walmart,,2024-03-21,SCWScott,1,1-2-3-star,"After 40 years, look else where.",I have owned HP products for nearly 40 years.  This printer is cheap.  I owned the HP 8600 which was this model's original design for over 10 years. Ink cartridge leaks and pops out.  HP demands access to your Wi-Fi security code before it will download interface software.  Unnecessary security risk.,,,,,0,,,,,https://www.walmart.com/reviews/product/5152138188?page=3,2024-10-26,US,,
,Yes,,,Walmart,,2024-03-05,deNawlins,3,1-2-3-star,"5-Star Functing, 3-Star Instant Ink Bullying","I enrolled in Instant Ink previously, however found it too invasive. I do not believe I should pay dues on my own property, and if “ink dues” are not paid, even though you have ink, you cannot print. I may not go to my mailbox(mailhouse) for months, and the ink dries. I paid extra depending on the number of pages used, to cover “overage!” Buy your own ink. DO NOT ACCEPT FREE INK AND DO NOT PARTICIPATE IN THE INSTANT INK PROGRAM. I was in graduate school for Creative Writing, working on my thesis, extremely close to the due date.  My printer stopped printing, and I called HP support. I had to let reps into my computer to assess the problem.  They found nothing.  I finally asked if there was a problem with my bill. They didn't know and recommended that I call HP Customer Service.  There was a problem which required my providing new card information.  I wasn't notified prior to my printing was halted!  I started with $10 “dues” and ended paying about $15. The printer is wonderful, but after buying a printer, you should not have a monthly bill that bullies you into making monthly payments for what they want you to buy. I started Instank Ink with my HP 8025 Pro and just bought the HP9012e. I read an article about how well the HP CEO is doing and how profitable things are.  I understand! If every HP printer owner  is bullied into making monthly payments on their own property, of course there will be huge profits.",,,,,0,,,,,https://www.walmart.com/reviews/product/5152138188?page=3,2024-10-26,US,,
,Yes,,,Walmart,,2021-04-07,JimmyT,1,1-2-3-star,You will only buy our ink,"This 9012e is an OK machine. I have always bought HP printers as I feel it's worth the price for the quality you get. I have changed my mind now because of this printer. I do feel the quality is still good. Unfortunately, the extent HP has gone to make sure the only ink cartridges that work in this machine are their overpriced cartridges is astounding. HP has now placed a chip in their cartridges. Maybe they've done this for a while but I haven't had the need to get a new printer until lately so I didn't know about this 'feature' until now. The chip basically ties the cartridge to the printer which means you can't refill, remanufacture, or otherwise recycle these types of cartridges. You can also join the HP Instant Ink program and they will happily provide you with a monthly subscription for your printer ink for a monthly fee. I never thought a company like HP would do something like this but I guess this is just the nature of the beast. HP is not happy enough that I am buying their product. They also have to strongarm me to purchase their printer ink for the rest of the printers life too.

The printer itself is not particularly fast and the sample pictures I printed with it are not the greatest quality either. All of them (B&W, monochrome, and color) were badly streaked. I suppose if you work in an office the speeds would probably be acceptable for a black and white picture but the color pics are very slow. Text is reasonably fast as long as it is black and white only.

Installing the printer software is horrible. Since the HP software for a PC is located on Microsoft's store, it also wanted to load their Edge browser on my laptop. Of course HP wants you to register on their website as well. All I know is that when I tried to add their software my computer stopped working (after restart it would not boot up) and I had several browser extensions that disappeared. I tried several things that did not work and after about 45 minutes or so I ended up restoring my computer to a date prior to my loading the HP software. That was the only thing that worked. My computer has run for 4 years every day with no issues until I tried to load this mess. 

I truly wish this was a glowing review about HP's line of printers as they were always my number one choice for printers but this one really let me down. Sorry.",,,,,0,,,,,https://www.walmart.com/reviews/product/5152138188?page=3,2024-10-26,US,,
,Yes,,,Walmart,,2024-03-07,Stanton Accountancy Corp,1,1-2-3-star,Inconvenience of envelope/paper handling.,"Capabilities were unclear in description. Was not able to handle printing to other than standard letter or legal paper without removing paper, adjusting slide in paper tray and reconfiguring printer tray settings. Then resetting the original paper settings to print plain paper. Way too much effort for printing an occasional envelope. Unit returned. Looking at other manufacturers for easier paper handling.",,,,,0,,,,,https://www.walmart.com/reviews/product/5152138188?page=3,2024-10-26,US,,
,Yes,,,Walmart,,2024-02-26,TomLA,4,4-5-star,Good printer with minor trade offs.,This is a good printer with good text quality and print speed. The setup process went reasonably well but the WiFi setup had a glitch and had to be repeated a second time. The document feeder scanning quality is a lower than I expected but probably per specs if you notice that they're different from the flat face scanner spec they show more prominently. Haven't tried the fax yet.,,,,,0,,,,,https://www.walmart.com/reviews/product/5152138188?page=3,2024-10-26,US,,
