Review_Model,Competitor_Flag,HP_Class,Segment,Retailer,Comp_Model,Review_Date,Review_Name,Review_Rating,Review_Rating_Label,Review_Title,Review_Content,Seeding_Flag,Verified_Purchase_Flag,Promotion_Flag,Aggregation_Flag,People_Find_Helpful,Syndicated_Source,Response_Date,Response_Text,Response_Name,URL,Scraping_Date,Country,Orginal_Title,Orginal Title
HP DeskJet 4220e,No,Tassel Plus,DeskJet,Amazon,Canon PIXMA MG3620,2024-09-19,Tatjana,1,1-2-3-star,Stops working after a month,"Unfortunately, this beautiful printer stopped working after just one month and no one at Amazon seems to be responsible for it. I am furious and will file a complaint",,Compra verificada,,Diseño: NuevaNombre de estilo: Con alimentador automático,0,,,,,https://www.amazon.es/Impresora-Multifunci%C3%B3n-HP-impresi%C3%B3n-Fotocopia/product-reviews/B0CFG1PB4P/ref=cm_cr_arp_d_viewopt_fmt?formatType=current_format&filterByStar=one_star&pageNumber=1&sortBy=recent,2024-09-21,Spain,Funktioniert nach einem Monat nicht mehr,
HP DeskJet 2820e,No,Tassel Base,DeskJet,Amazon,Canon PIXMA TS3520,2024-09-19,FRAN,5,4-5-star,In perfect condition,Very happy 😁,,Compra verificada,,Diseño: NuevaNombre de estilo: Sin alimentador automático,0,,,,,https://www.amazon.es/HP-DeskJet-2820e-Impresora-Multifunci%C3%B3n/product-reviews/B0CFFWJHMF/ref=cm_cr_arp_d_viewopt_fmt?formatType=current_format&filterByStar=five_star&pageNumber=1&sortBy=recent,2024-09-21,Spain,En perfectas condiciones,
HP DeskJet 2820e,No,Tassel Base,DeskJet,Amazon,Canon PIXMA TS3520,2024-09-19,Noelia,5,4-5-star,Quick installation and working,"Easy setup, just need to be connected to the same wifi and you can print from laptop, pc, mobile, etc... For now it works perfectly",,Compra verificada,,Diseño: NuevaNombre de estilo: Sin alimentador automático,0,,,,,https://www.amazon.es/HP-DeskJet-2820e-Impresora-Multifunci%C3%B3n/product-reviews/B0CFFWJHMF/ref=cm_cr_arp_d_viewopt_fmt?formatType=current_format&filterByStar=five_star&pageNumber=1&sortBy=recent,2024-09-21,Spain,Instalación rápida y funcionando,
HP DeskJet 4220e,No,Tassel Plus,DeskJet,Amazon,Canon PIXMA MG3620,2024-09-19,Matthias,1,1-2-3-star,Used and defective,"It was clear from the package that I was not the first owner of this printer. Even when I unpacked it, there were no security stickers on the package. Unfortunately, even after several attempts to set it up and clean it, I was unable to print a test page in acceptable quality (see photo). Now, after setting it up, I have to pack everything up again and send it back. This waste of my time was completely unnecessary. The previous buyer had obviously already sent this printer back because it was faulty.",,Compra verificada,,Diseño: NuevaNombre de estilo: Con alimentador automático,0,,,,,https://www.amazon.es/Impresora-Multifunci%C3%B3n-HP-impresi%C3%B3n-Fotocopia/product-reviews/B0CFG1PB4P/ref=cm_cr_arp_d_viewopt_fmt?formatType=current_format&filterByStar=one_star&pageNumber=1&sortBy=recent,2024-09-21,Spain,Gebraucht und Defekt,
HP DeskJet 4220e,No,Tassel Plus,DeskJet,Amazon,Canon PIXMA MG3620,2024-09-18,Fishandchips,1,1-2-3-star,really bad,it takes a long time to connect.,,Compra verificada,,Diseño: NuevaNombre de estilo: Con alimentador automático,0,,,,,https://www.amazon.es/Impresora-Multifunci%C3%B3n-HP-impresi%C3%B3n-Fotocopia/product-reviews/B0CFG1PB4P/ref=cm_cr_arp_d_viewopt_fmt?formatType=current_format&filterByStar=one_star&pageNumber=2&sortBy=recent,2024-09-21,Spain,really bad,
HP DeskJet 2820e,No,Tassel Base,DeskJet,Amazon,Canon PIXMA TS3520,2024-09-18,Danilo,4,4-5-star,Ok,Ok,,Compra verificada,,Diseño: NuevaNombre de estilo: Sin alimentador automático,0,,,,,https://www.amazon.es/HP-DeskJet-2820e-Impresora-Multifunci%C3%B3n/product-reviews/B0CFFWJHMF/ref=cm_cr_arp_d_viewopt_fmt?formatType=current_format&filterByStar=four_star&pageNumber=4&sortBy=recent,2024-09-21,Spain,Ok,
HP DeskJet 2820e,No,Tassel Base,DeskJet,Amazon,Canon PIXMA TS3520,2024-09-18,Gabi Gabhy,1,1-2-3-star,Hands off,I am very unsatisfied! It works once and then it doesn't work anymore! Waste of money! Not even 1 star.0 stars,,Compra verificada,,Diseño: NuevaNombre de estilo: Sin alimentador automático,0,,,,,https://www.amazon.es/HP-DeskJet-2820e-Impresora-Multifunci%C3%B3n/product-reviews/B0CFFWJHMF/ref=cm_cr_arp_d_viewopt_fmt?formatType=current_format&filterByStar=one_star&pageNumber=5&sortBy=recent,2024-09-21,Spain,Finger weg davon,
HP DeskJet 4220e,No,Tassel Plus,DeskJet,Amazon,Canon PIXMA MG3620,2024-09-18,Nickita,1,1-2-3-star,Cartridges always empty,"I would never buy this printer again. In the few months that I have been using it (regular but few print jobs!) I have bought a huge amount of cartridges. I am very annoyed about this because the cartridges are incredibly expensive. It's a shame, I had previously had good experiences with HP.",,Compra verificada,,Diseño: NuevaNombre de estilo: Con alimentador automático,0,,,,,https://www.amazon.es/Impresora-Multifunci%C3%B3n-HP-impresi%C3%B3n-Fotocopia/product-reviews/B0CFG1PB4P/ref=cm_cr_arp_d_viewopt_fmt?formatType=current_format&filterByStar=one_star&pageNumber=2&sortBy=recent,2024-09-21,Spain,Patronen immer leer,
HP DeskJet 4220e,No,Tassel Plus,DeskJet,Amazon,Canon PIXMA MG3620,2024-09-18,Knappe,1,1-2-3-star,Missing parts,"It's great that the printer arrived quickly. Unfortunately, I can't say much about it because no printer cartridges were included. That's why I'm only giving it one star",,Compra verificada,,Diseño: NuevaNombre de estilo: Con alimentador automático,0,,,,,https://www.amazon.es/Impresora-Multifunci%C3%B3n-HP-impresi%C3%B3n-Fotocopia/product-reviews/B0CFG1PB4P/ref=cm_cr_arp_d_viewopt_fmt?formatType=current_format&filterByStar=one_star&pageNumber=2&sortBy=recent,2024-09-21,Spain,Fehlende Teile,
HP DeskJet 2820e,No,Tassel Base,DeskJet,Amazon,Canon PIXMA TS3520,2024-09-18,Erre.,1,1-2-3-star,Disappointing,"It constantly disconnects from the Wi-Fi and, in one month, I have used 5 packages of COMPATIBLE cartridges that have been used to print 60 pages, of which 6 were in color. It's a rip-off how long the cartridges last and the poor connection despite having it connected to the computer.",,Compra verificada,,Diseño: NuevaNombre de estilo: Sin alimentador automático,0,,,,,https://www.amazon.es/HP-DeskJet-2820e-Impresora-Multifunci%C3%B3n/product-reviews/B0CFFWJHMF/ref=cm_cr_arp_d_viewopt_fmt?formatType=current_format&filterByStar=one_star&pageNumber=1&sortBy=recent,2024-09-21,Spain,Dececpcionante,
HP DeskJet 2820e,No,Tassel Base,DeskJet,Amazon,Canon PIXMA TS3520,2024-09-18,paa13,1,1-2-3-star,Disappointed with the 1st HP DeskJet,"In addition to the printer you get a 40.00 driver purchase, valid until 09/18/2025. Plus all the crap of a crappy software. Bad drivers, Windows 10 while my PC is brand new ASUS, purchased on: 09/16/84Ps: Never again HP",,Compra verificada,,Diseño: NuevaNombre de estilo: Sin alimentador automático,0,,,,,https://www.amazon.es/HP-DeskJet-2820e-Impresora-Multifunci%C3%B3n/product-reviews/B0CFFWJHMF/ref=cm_cr_arp_d_viewopt_fmt?formatType=current_format&filterByStar=one_star&pageNumber=5&sortBy=recent,2024-09-21,Spain,Déçu pour la 1ière HP DeskJet,
