Review_Model,Competitor_Flag,HP_Class,Segment,Retailer,Comp_Model,Review_Date,Review_Name,Review_Rating,Review_Rating_Label,Review_Title,Review_Content,Seeding_Flag,Verified_Purchase_Flag,Promotion_Flag,Aggregation_Flag,People_Find_Helpful,Syndicated_Source,Response_Date,Response_Text,Response_Name,URL,Scraping_Date,Country,Orginal_Title,Orginal Title
HP DeskJet 2855e,No,Tassel Base,DeskJet,Best Buy,Canon PIXMA TS3520,2024-06-09,Viabledata,5,4-5-star,A great basic all in one setup,"The HP deskjet is a fast, efficient, and quality printer that is great for your basic needs. Its direct connection or wireless wifi connection give you options to connect however you need. 

Out of the box, the printer is pretty easy to set up. You will only need a tiny plot of real-estate to set the printer up in, as this printer is very minimalistic in its features. It comes with a color and black cartridge, and the power cord. It does not come with the usb 2.0 plug if you wish to connect it wired to your pc. You will need to download the hp smart app on phone or tablet  to setup the printer and you can also visit the hp website to download the drivers for pc install. Printer will need to be set up on same wifi network as all devices wishing to print. 

The left strip on top of the printer serves as the control panel. It is a bit difficult to remember the functions of each button, and the lcd displays basic icons. I needed to referr to the manual several times to remember everything. 

Printing is at a pretty quick speed for this type of printer and the overall quality of the print is  pretty good as well. With a ribbon cartridge type printer, it can go through ink pretty quickly depending on the type of print and amount of blacks or colors in your print.  Cartridges can be expensive, but HP does offer 3 months of free ink with their Instant-Ink program that will auto ship new cartriges when you start running low. 

The flatbed scanner is a nice design and easy to use. It is a little slow on the scans, but does produce a great quality file to use. 

Overall, I think it is a great basic printer and scanner. I wish the power cord was another foot longer, but I do enjoy the smaller design and basic control panel. It prints great and gets the job done. Its wireless connectivity gives many printing options. I think it is time to phase away from cartridge printers but for what this is, it's a good setup.",Badge: Tech Insider Network Member,,,,0,,,,,https://www.bestbuy.com/site/reviews/hp-deskjet-2855e-wireless-all-in-one-inkjet-printer-with-3-months-of-instant-ink-included-with-hp-white/6574145?variant=A&page=6,2024-09-21,US,,
HP DeskJet 2855e,No,Tassel Base,DeskJet,Best Buy,Canon PIXMA TS3520,2024-08-30,Kitchenappliances,5,4-5-star,Awesome printer,"Great printer for the price, I would highly recommend this.",,,,,0,,,,,https://www.bestbuy.com/site/reviews/hp-deskjet-2855e-wireless-all-in-one-inkjet-printer-with-3-months-of-instant-ink-included-with-hp-white/6574145?variant=A&page=2,2024-09-21,US,,
HP DeskJet 2855e,No,Tassel Base,DeskJet,Best Buy,Canon PIXMA TS3520,2024-07-19,ShaneenN,5,4-5-star,Awesomeness,Needed a way to print from my phone without having a pc available this works great for that pretty easy set up!,,,,,0,,,,,https://www.bestbuy.com/site/reviews/hp-deskjet-2855e-wireless-all-in-one-inkjet-printer-with-3-months-of-instant-ink-included-with-hp-white/6574145?variant=A&page=4,2024-09-21,US,,
HP DeskJet 2855e,No,Tassel Base,DeskJet,Best Buy,Canon PIXMA TS3520,2024-08-12,CindyM,1,1-2-3-star,Bad ink cartridge!,"Although printer seems nice, it came with a bad black ink cartridge.  I had two options 1. Return to store (we do not live near on” or 2.  They would send me a label to go through the hassle of returning the whole printer. ALSO, the free ink for 3 months is deceiving as you have to sign up for a membership!",,,,,0,,,,,https://www.bestbuy.com/site/reviews/hp-deskjet-2855e-wireless-all-in-one-inkjet-printer-with-3-months-of-instant-ink-included-with-hp-white/6574145?variant=A&page=3,2024-09-21,US,,
HP DeskJet 2855e,No,Tassel Base,DeskJet,Best Buy,Canon PIXMA TS3520,2024-09-06,DeanaP,5,4-5-star,Best Deal in Town,Love this printer it’s nice and compact and the best thing is I was able to get on Sale and that in itself was Awesome,,,,,1,,,,,https://www.bestbuy.com/site/reviews/hp-deskjet-2855e-wireless-all-in-one-inkjet-printer-with-3-months-of-instant-ink-included-with-hp-white/6574145?variant=A&page=1,2024-09-21,US,,
HP DeskJet 2855e,No,Tassel Base,DeskJet,Best Buy,Canon PIXMA TS3520,2024-07-09,PetrenaJ,1,1-2-3-star,Beware!!!Don't Buy,Item is garbage and now I can't return it. It took like 10 minutes to print 1 document and the color bleeds. Total waste of money. Don't buy,,,,,3,,,,,https://www.bestbuy.com/site/reviews/hp-deskjet-2855e-wireless-all-in-one-inkjet-printer-with-3-months-of-instant-ink-included-with-hp-white/6574145?variant=A&page=5,2024-09-21,US,,
HP DeskJet 2855e,No,Tassel Base,DeskJet,Best Buy,Canon PIXMA TS3520,2024-06-28,MyaC,5,4-5-star,Convenient and works great,Small light weight and works great I love that you can hook it up to your phone so you don’t have to always take out your computer!,,,,,0,,,,,https://www.bestbuy.com/site/reviews/hp-deskjet-2855e-wireless-all-in-one-inkjet-printer-with-3-months-of-instant-ink-included-with-hp-white/6574145?variant=A&page=4,2024-09-21,US,,
HP DeskJet 2855e,No,Tassel Base,DeskJet,Best Buy,Canon PIXMA TS3520,2024-06-14,JannaR,4,4-5-star,Cost efficient effective printer,"Prints easily from Mac and mobile devices
Efficient",,,,,1,,,,,https://www.bestbuy.com/site/reviews/hp-deskjet-2855e-wireless-all-in-one-inkjet-printer-with-3-months-of-instant-ink-included-with-hp-white/6574145?variant=A&page=3,2024-09-21,US,,
HP DeskJet 2855e,No,Tassel Base,DeskJet,Best Buy,Canon PIXMA TS3520,2024-06-05,DarR,4,4-5-star,Decent Home Printer,"This Deskjet 2855e is a compact capable printer for light home printing needs.

Setup
Setting up the hardware was fairly easy. The printer is nicely wrapped in plastic so I was not afraid of breaking anything as I pulled it out of the box. Other components are taped onto it, and all I needed was to attach the power wire. After that, I placed the ink cartridges in, which was easy to put.

Installation
This was very challenging. I probably ran installation around 15 times to get it right--yes 15. HP Smart easily detected the printer and hooked it up to my wifi, but the installation stops after that step. I switched installation between HP Smart and directly from windows settings (add printer option) using WPS direct and manual IP address adding but the connection won't go through. I suspect that it has something to do with 2.4ghz and 5ghz wifi signals, which, like my IOT devices that I set up has a hard time connecting with the network, where I suspect the printer communicates only using 2.4ghz. This was most of the pain, and it was brutal. Luckily it went through after the nth try. 

Print Output
Aligning was not that hard, as the scanning feature is easy so that I can align the heads. Printing was fairly fast and the quality is pretty good for a Deskjet output-- it was comparable to my LaserJet printer. One issue I had though was, there is almost no extension tray that holds the printed pages. It just throws them all out of the printer and onto the table. Luckily it I placed on a longer table, if not, it will just be throwing documents to the ground. Also, paper tends to double up every so often as it feeds onto the printer. It's a bit of a nuisance. Good thing is that the print speed is pretty fast.

Software
HP Smart has been a great tool for printing and I am glad it is integrated in this Deskjet model. As long as everything is set up, remote printing and ink replenishment is automatic. The app itself helps with printer tools like diagnostics and status. With the app on my phone and my tablet, I can easily print my documents from my devices.

This is a good printer for home use. It is not too complicated and is fairly easy to use—just have some patience with its quirks!",Badge: Tech Insider Network Member,,,,2,,,,,https://www.bestbuy.com/site/reviews/hp-deskjet-2855e-wireless-all-in-one-inkjet-printer-with-3-months-of-instant-ink-included-with-hp-white/6574145?variant=A&page=1,2024-09-21,US,,
HP DeskJet 2855e,No,Tassel Base,DeskJet,Best Buy,Canon PIXMA TS3520,2024-06-26,MIXMASTERICE,4,4-5-star,"Difficult to set up, but does the job once up","This is the type of set up for a printer that you would think on the surface would be a breeze. You can do everything through your smartphone, so you don't even have.to fire up your PC. Set up wasn't so easy, however. The app used for set up kept hanging on me and then, for some odd reason, my WiFi simply wouldn't cooperate with this printer. After resting, resubmitting passwords and unplugging, somehow it finally all came together. It was very frustrating
 
The printer, once up and running will do your basics. Every process seems to take a while to get.going and the printing is a little on the slow side. Basic enough for occasional home use, but this wouldn't be a good printer/scanner for frequent use. I do like that I don't have to use my PC to print and can just use my phone. If you ever run into any issues, the app is helpful and will probably be your solution, even for ink maintenance. 

So overall, you get what you pay for. This is a fairly basic printer/scanner that will deliver what you would expect.from this price.poimt.",Badge: Tech Insider Network Member,,,,0,,,,,https://www.bestbuy.com/site/reviews/hp-deskjet-2855e-wireless-all-in-one-inkjet-printer-with-3-months-of-instant-ink-included-with-hp-white/6574145?variant=A&page=6,2024-09-21,US,,
