Review_Model,Competitor_Flag,HP_Class,Segment,Retailer,Comp_Model,Review_Date,Review_Name,Review_Rating,Review_Title,Review_Content,Seeding_Flag,Verified_Purchase_Flag,Promotion_Flag,Aggregation_Flag,People_Find_Helpful,Syndicated_Source,Response_Date,Response_Text,Response_Name,URL,Scraping_Date,Country,Review_Rating_Label
HP DeskJet 2855e,No,Tassel Base,DeskJet,Amazon,Canon PIXMA TS3520,2024-09-19,Catherine Brown,1,Worst printer ever owned,Love the scanning feature. Easy and hassle free. The printer is awful! The worst I have ever owned. Don’t buy,,,,Style: New Version,0,,,,,https://www.amazon.com/HP-DeskJet-Wireless-included-588S5A/product-reviews/B0CT2R7199/ref=cm_cr_arp_d_viewopt_fmt?ie=UTF8&reviewerType=all_reviews&formatType=current_format&pageNumber=1&filterByStar=one_star&sortBy=recent,2024-09-21,US,1-2-3-star
HP DeskJet 2855e,No,Tassel Base,DeskJet,Amazon,Canon PIXMA TS3520,2024-09-19,William R. Beynon,1,JUNK PRINTER,"This printer worked for about a month and when I needed again in a couple of weeks it was dead, and also couldn't be returned because you can't return it to Amazon after 5 weeks. Bummer!",,Verified Purchase,,Style: New Version,0,,,,,https://www.amazon.com/HP-DeskJet-Wireless-included-588S5A/product-reviews/B0CT2R7199/ref=cm_cr_arp_d_viewopt_fmt?ie=UTF8&reviewerType=all_reviews&formatType=current_format&pageNumber=1&filterByStar=one_star&sortBy=recent,2024-09-21,US,1-2-3-star
HP DeskJet 2855e,No,Tassel Base,DeskJet,Amazon,Canon PIXMA TS3520,2024-09-18,Jaislyn Bryant,1,WOULD NOT RECOMMEND FOR COLLEGE STUDENTS,would not recommend. setting up process is forever. not even able to use it. scanner not b even working. printer just not it!!!,,Verified Purchase,,Style: New Version,0,,,,,https://www.amazon.com/HP-DeskJet-Wireless-included-588S5A/product-reviews/B0CT2R7199/ref=cm_cr_arp_d_viewopt_fmt?ie=UTF8&reviewerType=all_reviews&formatType=current_format&pageNumber=1&filterByStar=one_star&sortBy=recent,2024-09-21,US,1-2-3-star
HP DeskJet 2855e,No,Tassel Base,DeskJet,Amazon,Canon PIXMA TS3520,2024-09-18,Ryan Hansen,1,Already broken.,Stay away from cheap printers like these. Bought this three months ago and used it less than ten times. Already broken.,,Verified Purchase,,Style: New Version,0,,,,,https://www.amazon.com/HP-DeskJet-Wireless-included-588S5A/product-reviews/B0CT2R7199/ref=cm_cr_arp_d_viewopt_fmt?ie=UTF8&reviewerType=all_reviews&formatType=current_format&pageNumber=1&filterByStar=one_star&sortBy=recent,2024-09-21,US,1-2-3-star
HP DeskJet 2855e,No,Tassel Base,DeskJet,Amazon,Canon PIXMA TS3520,2024-09-18,bryan l.,1,Awful,I've printed maybe 50 sheets of paper. all black and white...and now this printer just spits out blank pages.  I'm furious I wasted my money on this and have to now buy something different. Lesson learned.,,Verified Purchase,,Style: New Version,0,,,,,https://www.amazon.com/HP-DeskJet-Wireless-included-588S5A/product-reviews/B0CT2R7199/ref=cm_cr_arp_d_viewopt_fmt?ie=UTF8&reviewerType=all_reviews&formatType=current_format&pageNumber=1&filterByStar=one_star&sortBy=recent,2024-09-21,US,1-2-3-star
HP DeskJet 2855e,No,Tassel Base,DeskJet,Amazon,Canon PIXMA TS3520,2024-09-18,ana segoviano,1,not working,"this printer has given me so many issues. it does not work, and I am constantly trying to fix it",,Verified Purchase,,Style: New Version,0,,,,,https://www.amazon.com/HP-DeskJet-Wireless-included-588S5A/product-reviews/B0CT2R7199/ref=cm_cr_arp_d_viewopt_fmt?ie=UTF8&reviewerType=all_reviews&formatType=current_format&pageNumber=1&filterByStar=one_star&sortBy=recent,2024-09-21,US,1-2-3-star
HP DeskJet 2855e,No,Tassel Base,DeskJet,Amazon,Canon PIXMA TS3520,2024-09-18,Fe Jo,1,Make sure you are not using 5G to connect,I could not get this printer to stay connected to wifi and after tons of messages to HP they finally tell me it is because I can't use 5 G to connect.,,Verified Purchase,,Style: New Version,0,,,,,https://www.amazon.com/HP-DeskJet-Wireless-included-588S5A/product-reviews/B0CT2R7199/ref=cm_cr_arp_d_viewopt_fmt?ie=UTF8&reviewerType=all_reviews&formatType=current_format&pageNumber=1&filterByStar=one_star&sortBy=recent,2024-09-21,US,1-2-3-star
HP DeskJet 2855e,No,Tassel Base,DeskJet,Amazon,Canon PIXMA TS3520,2024-09-18,Michael Kramer,1,Had to return--doesn't work --can't download software,Worst printer I have ever had the displeasure of buying--had to return it to Amazon.....Very confusing --Don't know why I purchase another HP printer as the first one I had was also a dud.,,Verified Purchase,,Style: New Version,0,,,,,https://www.amazon.com/HP-DeskJet-Wireless-included-588S5A/product-reviews/B0CT2R7199/ref=cm_cr_arp_d_viewopt_fmt?ie=UTF8&reviewerType=all_reviews&formatType=current_format&pageNumber=1&filterByStar=one_star&sortBy=recent,2024-09-21,US,1-2-3-star
HP DeskJet 2855e,No,Tassel Base,DeskJet,Amazon,Canon PIXMA TS3520,2024-09-18,Christopher Capobianco,1,HP is trash,"Between the “cartridge not compatible” crap and the HP+ “easy to use” app, I’ve wasted countless days (not hours) trying to get this printer to work consistently.  Finally gave up and spent a little bit more money on a Canon.  Worth it.",,,,Style: New Version,0,,,,,https://www.amazon.com/HP-DeskJet-Wireless-included-588S5A/product-reviews/B0CT2R7199/ref=cm_cr_arp_d_viewopt_fmt?ie=UTF8&reviewerType=all_reviews&formatType=current_format&pageNumber=1&filterByStar=one_star&sortBy=recent,2024-09-21,US,1-2-3-star
HP DeskJet 2855e,No,Tassel Base,DeskJet,Amazon,Canon PIXMA TS3520,2024-09-17,Kenny,1,It doesn’t work out of the box,"Right out of the box, you can tell how cheap it is, and it will not connect to my laptop, sitting on the desk right next to it then the instructions that you have to print out using your own paper then tell you if you’re having trouble connecting then the only thing you can do is connect the printer to the laptop with a USB cable That doesn’t include their product. It’s a waste of time.",,Verified Purchase,,Style: New Version,0,,,,,https://www.amazon.com/HP-DeskJet-Wireless-included-588S5A/product-reviews/B0CT2R7199/ref=cm_cr_arp_d_viewopt_fmt?ie=UTF8&reviewerType=all_reviews&formatType=current_format&pageNumber=1&filterByStar=one_star&sortBy=recent,2024-09-21,US,1-2-3-star
HP DeskJet 2855e,No,Tassel Base,DeskJet,Amazon,Canon PIXMA TS3520,2024-09-17,Stephanie Haase,1,Trash,Don't buy it,,Verified Purchase,,Style: New Version,0,,,,,https://www.amazon.com/HP-DeskJet-Wireless-included-588S5A/product-reviews/B0CT2R7199/ref=cm_cr_arp_d_viewopt_fmt?ie=UTF8&reviewerType=all_reviews&formatType=current_format&pageNumber=2&filterByStar=one_star&sortBy=recent,2024-09-21,US,1-2-3-star
HP DeskJet 2855e,No,Tassel Base,DeskJet,Amazon,Canon PIXMA TS3520,2024-09-17,Amazon Customer,1,You need monthly subscription to use this,You will need to enroll in monthly subscription. Even you have hp ink and paper you wont be able to print without subscription.,,,,Style: New Version,0,,,,,https://www.amazon.com/HP-DeskJet-Wireless-included-588S5A/product-reviews/B0CT2R7199/ref=cm_cr_arp_d_viewopt_fmt?ie=UTF8&reviewerType=all_reviews&formatType=current_format&pageNumber=2&filterByStar=one_star&sortBy=recent,2024-09-21,US,1-2-3-star
HP DeskJet 2855e,No,Tassel Base,DeskJet,Amazon,Canon PIXMA TS3520,2024-09-17,Diego Chacon-Reina,1,Garbage,This printer is god awful. Says it’s out of ink when a cartridge was just replaced. For some reason it can never do more than 5 pages before it needs a break and then who knows when it’ll start up again. Says it’s offline literally after just having been finished with a print job. I don’t think I’ve dealt with a piece of technology as bad as this one,,Verified Purchase,,Style: New Version,0,,,,,https://www.amazon.com/HP-DeskJet-Wireless-included-588S5A/product-reviews/B0CT2R7199/ref=cm_cr_arp_d_viewopt_fmt?ie=UTF8&reviewerType=all_reviews&formatType=current_format&pageNumber=2&filterByStar=one_star&sortBy=recent,2024-09-21,US,1-2-3-star
HP DeskJet 2855e,No,Tassel Base,DeskJet,Amazon,Canon PIXMA TS3520,2024-09-17,H.Xu,1,"Not a good printer, very unreliable","Unfortunately I think this is a terrible printer, might be one of the worst I’ve ever had to deal with it.. I would not have paid even 10 dollars for it - please do not buy it, would be my advice. It barely prints, can hardly load 3-5 pages of paper at a time, jams like crazy is basically made out of cardboard. Wish I could be more positive but this was a very bad purchase…!",,Verified Purchase,,Style: New Version,0,,,,,https://www.amazon.com/HP-DeskJet-Wireless-included-588S5A/product-reviews/B0CT2R7199/ref=cm_cr_arp_d_viewopt_fmt?ie=UTF8&reviewerType=all_reviews&formatType=current_format&pageNumber=2&filterByStar=one_star&sortBy=recent,2024-09-21,US,1-2-3-star
HP DeskJet 2855e,No,Tassel Base,DeskJet,Amazon,Canon PIXMA TS3520,2024-09-17,Holly G,1,Don’t waste your money,I should have listened to the reviews. This printer is aweful. I have to reinstall it EVERY time I want to use it.  Complete waste of time and money.,,Verified Purchase,,Style: New Version,0,,,,,https://www.amazon.com/HP-DeskJet-Wireless-included-588S5A/product-reviews/B0CT2R7199/ref=cm_cr_arp_d_viewopt_fmt?ie=UTF8&reviewerType=all_reviews&formatType=current_format&pageNumber=2&filterByStar=one_star&sortBy=recent,2024-09-21,US,1-2-3-star
HP DeskJet 2855e,No,Tassel Base,DeskJet,Amazon,Canon PIXMA TS3520,2024-09-16,Kyle,1,DO NOT buy,If you want connectivity issues and a headache this is your printer,,Verified Purchase,,Style: New Version,0,,,,,https://www.amazon.com/HP-DeskJet-Wireless-included-588S5A/product-reviews/B0CT2R7199/ref=cm_cr_arp_d_viewopt_fmt?ie=UTF8&reviewerType=all_reviews&formatType=current_format&pageNumber=2&filterByStar=one_star&sortBy=recent,2024-09-21,US,1-2-3-star
HP DeskJet 2855e,No,Tassel Base,DeskJet,Amazon,Canon PIXMA TS3520,2024-09-16,Shopper,1,Major Pain to Use- Everything Occurs through HP's app,"The whole process from set up, printing, to ordering ink, has been ridiculous. Every printer I've ever owned has been very simple: plug-in, set up (quick & easy), and print *from multiple devices. Why would it be anything else? HP wants you to print through their app. If I want to print directly from my Mac laptop- it will only print in black and white- when it does actually print (most of the time it won't print). So far I've been waiting 17 days for the ""instant ink"" to arrive - it's been shipped and is still ""In process/en route"". Way too much time spent on something that should be a plug and go situation.",,Verified Purchase,,Style: New Version,0,,,,,https://www.amazon.com/HP-DeskJet-Wireless-included-588S5A/product-reviews/B0CT2R7199/ref=cm_cr_arp_d_viewopt_fmt?ie=UTF8&reviewerType=all_reviews&formatType=current_format&pageNumber=2&filterByStar=one_star&sortBy=recent,2024-09-21,US,1-2-3-star
HP DeskJet 2855e,No,Tassel Base,DeskJet,Amazon,Canon PIXMA TS3520,2024-09-16,Miguel,1,La conexion y rendimiento de la tinta,"No recomiendo comprar este equipo, un precio bajo, pero no vale la pena.cuesta la conexion y el rendimiento de la misma es super bajo, solo pude imprimir 30 paginas y de una en una. es mejor hacer una inversion en otra marca, pero que te funiones",,Verified Purchase,,Style: New Version,0,,,,,https://www.amazon.com/HP-DeskJet-Wireless-included-588S5A/product-reviews/B0CT2R7199/ref=cm_cr_arp_d_viewopt_fmt?ie=UTF8&reviewerType=all_reviews&formatType=current_format&pageNumber=2&filterByStar=one_star&sortBy=recent,2024-09-21,US,1-2-3-star
