Review_Model,Competitor_Flag,HP_Class,Segment,Retailer,Comp_Model,Review_Date,Review_Name,Review_Rating,Review_Rating_Label,Review_Title,Review_Content,Seeding_Flag,Verified_Purchase_Flag,Promotion_Flag,Aggregation_Flag,People_Find_Helpful,Syndicated_Source,Response_Date,Response_Text,Response_Name,URL,Scraping_Date,Country,Orginal_Review,Orginal_Title,Orginal Title
HP DeskJet 4220e,No,Tassel Plus,DeskJet,Amazon,Canon PIXMA MG3620,12/10/2023,Liedtke,4,4-5-star,,The printer installs itself but does not have all the functions. I then installed Hp Smart with no result. Unfortunately there is not a word in German under the German description in the setup guide. Thank you China.,,Compra verificada,,Diseño: NuevaNombre de estilo: Con alimentador automático,0,,,,,https://www.amazon.es/Impresora-Multifunci%C3%B3n-HP-impresi%C3%B3n-Fotocopia/product-reviews/B0CFG1PB4P/ref=cm_cr_arp_d_viewopt_fmt?formatType=current_format&filterByStar=four_star&pageNumber=2&sortBy=recent,4/11/2024,Spain,"Der Drucker  installiert sich selbst aber nicht mit allen Funktionen ,Habe dann Hp Smart installiert ohne Ergebnis. Im Setup Guide ist unter der Deutschen Beschreibung leider nicht ein Wort in Deutsch. Danke China.",,Hp Smart wird auf dem Laptop installiert kann aber nicht erreicht werden.
HP DeskJet 4220e,No,Tassel Plus,DeskJet,Amazon,Canon PIXMA MG3620,12/17/2023,Marcus Piel,5,4-5-star,,Everything's good so far. Does its job. High-quality material. Relatively easy to set up,,Compra verificada,,Diseño: NuevaNombre de estilo: Con alimentador automático,0,,,,,https://www.amazon.es/Impresora-Multifunci%C3%B3n-HP-impresi%C3%B3n-Fotocopia/product-reviews/B0CFG1PB4P/ref=cm_cr_arp_d_viewopt_fmt?formatType=current_format&filterByStar=five_star&pageNumber=4&sortBy=recent,3/13/2024,Spain,Bis jetzt alles gut. Macht seinen JobWertiges MaterialRelativ leichte Einrichtung,"1,0 de 5 estrellas
La tinta de color se agota rápido. Error de conexión Wifi",
HP DeskJet 4220e,No,Tassel Plus,DeskJet,Amazon,Canon PIXMA MG3620,12/17/2023,Marcus Piel,5,4-5-star,He does what he should…,So far everything is good. Does its job. High-quality material. Relatively easy to set up.,,Compra verificada,,Diseño: NuevaNombre de estilo: Con alimentador automático,0,,,,,https://www.amazon.es/Impresora-Multifunci%C3%B3n-HP-impresi%C3%B3n-Fotocopia/product-reviews/B0CFG1PB4P/ref=cm_cr_arp_d_viewopt_fmt?formatType=current_format&filterByStar=five_star&pageNumber=9&sortBy=recent,6/11/2024,Spain,,Er macht was er soll…,
HP DeskJet 4220e,No,Tassel Plus,DeskJet,Amazon,Canon PIXMA MG3620,12/31/2023,Client d'Amazon,5,4-5-star,,Nothing problem thanks,,Compra verificada,,Diseño: NuevaNombre de estilo: Con alimentador automático,0,,,,,https://www.amazon.es/Impresora-Multifunci%C3%B3n-HP-impresi%C3%B3n-Fotocopia/product-reviews/B0CFG1PB4P/ref=cm_cr_arp_d_viewopt_fmt?formatType=current_format&filterByStar=five_star&pageNumber=4&sortBy=recent,3/13/2024,Spain,Rien problème merci,schlechter Qualität,
HP DeskJet 2820e,No,Tassel Base,DeskJet,Amazon,Canon PIXMA TS3520,1/6/2024,Always glutenfree,4,4-5-star,"Prints well, easy installation","Contrary to reviews to the contrary, the printer is relatively easy to install. If you don't have any idea, it will probably take a moment longer, but it's manageable. Printing from a smartphone and computer with Windows 10 was quick and relatively uncomplicated. Print quality is very good, for the price there is nothing to complain about. The printer is absolutely suitable for normal office requirements or households where you need to print out an invoice or ticket. One star deducted for the prices of the ink cartridges.",,Compra verificada,,Diseño: NuevaNombre de estilo: Sin alimentador automático,0,,,,,https://www.amazon.es/HP-DeskJet-2820e-Impresora-Multifunci%C3%B3n/product-reviews/B0CFFWJHMF/ref=cm_cr_arp_d_viewopt_fmt?formatType=current_format&filterByStar=four_star&pageNumber=3&sortBy=recent,3/13/2024,Spain,"Der Drucker lässt sich entgegen anderslautenden Bewertungen relativ einfach installieren. Ganz ohne Ahnung dauert es vermutlich einen Moment länger, aber gut schaffbar. Drucken vom Smartphone und Rechner mit Windows 10 ging schnell und relativ unkompliziert. Druckqualität sehr in Ordnung, für den Preis gibt es nichts zu meckern. Für normale Büro-Anforderungen oder Haushalte, wo man mal eine Rechnung oder ein Ticket ausdruckt, ist der Drucker absolut geeignet. Einen Stern Abzug für die Preise der Tintenpatronen.","1,0 de 5 estrellas
No imprime",
HP DeskJet 2810e,No,Tassel Base,DeskJet,Amazon,Canon PIXMA TS3520,1/6/2024,JCH,5,4-5-star,Simple and straightforward,"I have to say, if like myself you just need a printer for occasional printing and scanning at home this printer is ideal. Really easy to install just follow online instructions takes you through it step by step. Only time will tell if it carries on ok, but so far so good!!!",,Verified Purchase,,Style Name: HP DeskJet 2810ePattern Name: White,13,,,,,https://www.amazon.co.uk/HP-DeskJet-Wireless-included-Reliable/product-reviews/B0CFFBXYSH/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&formatType=current_format&pageNumber=5&filterByStar=five_star&sortBy=recent,3/13/2024,UK,,,
HP DeskJet 4220e,No,Tassel Plus,DeskJet,Amazon,Canon PIXMA MG3620,1/7/2024,Hans Maier,5,4-5-star,,I need the printer for copies and to transmit documents. I am very pleased .,,Compra verificada,,Diseño: NuevaNombre de estilo: Con alimentador automático,0,,,,,https://www.amazon.es/Impresora-Multifunci%C3%B3n-HP-impresi%C3%B3n-Fotocopia/product-reviews/B0CFG1PB4P/ref=cm_cr_arp_d_viewopt_fmt?formatType=current_format&filterByStar=five_star&pageNumber=4&sortBy=recent,3/13/2024,Spain,Ich brauche den Drucker für Kopuen und zum übermitteln von Dokumenten. Bin sehr zufrieden .,It is not going to work!,
HP DeskJet 4220e,No,Tassel Plus,DeskJet,Amazon,Canon PIXMA MG3620,1/8/2024,Florella,5,4-5-star,So far so good,"Amazing printer, easy to set up.  I love the auto feeder document, didn’t use it yet, but looking forward! Easy to print and scan from their app!",,Verified Purchase,,Style Name: HP DeskJet 4220e with Automatic Document FeederPattern Name: White/Grey,3,,,,,https://www.amazon.co.uk/HP-DeskJet-Wireless-Included-Reliable/product-reviews/B0CB722L39/ref=cm_cr_arp_d_viewopt_sr?ie=UTF8&reviewerType=all_reviews&formatType=current_format&pageNumber=1&filterByStar=five_star&sortBy=recent,3/13/2024,UK,,,
HP DeskJet 2820e,No,Tassel Base,DeskJet,Amazon,Canon PIXMA TS3520,1/8/2024,Mrs T,1,1-2-3-star,Colour cartridge doesn’t work,"Awful, colour cartridge faulty and HP can’t send a new one in a quicker time than 8 buisness days so buy a colour printer but don’t expect to be able to print in colour.",,Verified Purchase,,Style Name: HP DeskJet 2820ePattern Name: White/Grey,3,,,,,https://www.amazon.co.uk/HP-DeskJet-Wireless-Included-Reliable/product-reviews/B0CFFC6LRR/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&formatType=current_format&pageNumber=1&filterByStar=one_star&sortBy=recent,3/13/2024,UK,,,
HP DeskJet 2820e,No,Tassel Base,DeskJet,Amazon,Canon PIXMA TS3520,1/8/2024,Pg,5,4-5-star,Great connecting printer,"It connects great and is super easy to install, at least for me, I haven't had any problems with my mobile or with my computer either. With the ink plan that gives you 3 months free, it already pays off, but you must keep in mind that later you can only use original cartridges. If someone registers and wants to enter my code b9xgws, we both win a free month of ink.",,,,Diseño: NuevaNombre de estilo: Sin alimentador automático,0,,,,,https://www.amazon.es/HP-DeskJet-2820e-Impresora-Multifunci%C3%B3n/product-reviews/B0CFFWJHMF/ref=cm_cr_arp_d_viewopt_fmt?formatType=current_format&filterByStar=five_star&pageNumber=5&sortBy=recent,3/13/2024,Spain,"Conecta genial y es super fácil de instalar, al menos a mi, con el móvil no he tenido ningún problema y tampoco con el ordenador.  Con el plan de tinta que te da 3 meses gratis ya sale a cuenta, pero debes tener en cuenta que luego solo puedes utilizar cartuchos originales.Si alguien se registra y quiere poner mi código b9xgws los dos ganamos un mes gratis de tinta.","1,0 de 5 estrellas
No conecta. Imposible encontrar controlador pq no existe este modelo ya ni en el fabricante",
