Review_Model,Competitor_Flag,HP_Class,Segment,Retailer,Comp_Model,Review_Date,Review_Name,Review_Rating,Review_Title,Review_Content,Seeding_Flag,Verified_Purchase_Flag,Promotion_Flag,Aggregation_Flag,People_Find_Helpful,Syndicated_Source,Response_Date,Response_Text,Response_Name,URL,Scraping_Date,Country,Review_Rating_Label
HP DeskJet 2810e,No,Tassel Base,DeskJet,Amazon,Canon PIXMA TS3520,2024-10-15,Kindle Customer,1,Might be best to request installation when ordering. This was an option,"I liked the printer but have been unable to print from it.I have installed other printers, the last also being an hp printer, but this has completely defeated me.I have tried to access support and have found this impossible also.I find the the process of returning the machine seems simple and reluctantly I may have to do that.A printer I can't get to print is not a lot of good to me.",,Verified Purchase,,Style Name: HP DeskJet 2810ePattern Name: White,0,,,,,https://www.amazon.co.uk/HP-DeskJet-Wireless-included-Reliable/product-reviews/B0CFFBXYSH/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&formatType=current_format&pageNumber=1&filterByStar=one_star&sortBy=recent,2024-10-17,UK,1-2-3-star
HP DeskJet 2810e,No,Tassel Base,DeskJet,Amazon,Canon PIXMA TS3520,2024-10-15,Rebel Rossi,1,Impossible to configure,"We installed the printer two months ago, it worked fine. This week we changed the wifi router and renamed the network. We have managed to reconnect the printer to the new network, but it has become impossible to use. It has to be reconfigured almost every time we use it. Terrible waste of time and money.",,Verified Purchase,,Style Name: HP DeskJet 2810ePattern Name: White,0,,,,,https://www.amazon.co.uk/HP-DeskJet-Wireless-included-Reliable/product-reviews/B0CFFBXYSH/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&formatType=current_format&pageNumber=1&filterByStar=one_star&sortBy=recent,2024-10-17,UK,1-2-3-star
HP DeskJet 2810e,No,Tassel Base,DeskJet,Amazon,Canon PIXMA TS3520,2024-10-14,S. Duncan,1,Dreadful,"I have used several printers, at work and at home for a long time. This is probably the worst printer I have ever used. It is not intuitive at all. The instructions are not helpful and the feature that assists duplex printing is a waste of paper. We now do very little printing but I try to be economical with paper so I tried manual duplex printing as described and managed to waste about 80 sheets when it did not print what I wanted. I have finally requested the hard copy to be sent to my by post, something I have not done for about twenty years. As you pay for the ink subscription by the number of sheets you print, I used up more than my allowance. I shall never buy a pirnter that does that again.I should add that this is not a problem with the brand but with this specific printer. Do not buy it unless you have a) unlimited resources and b) unlimited time.",,Verified Purchase,,Style Name: HP DeskJet 2810ePattern Name: White,0,,,,,https://www.amazon.co.uk/HP-DeskJet-Wireless-included-Reliable/product-reviews/B0CFFBXYSH/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&formatType=current_format&pageNumber=1&filterByStar=one_star&sortBy=recent,2024-10-17,UK,1-2-3-star
HP DeskJet 2810e,No,Tassel Base,DeskJet,Amazon,Canon PIXMA TS3520,2024-10-12,AB,1,ANOTHER USELESS RIP OFF PRINTER FROM HP,"Worked for 8 weeks, cartridge needed replacing, installed genuine new one. Printer stopped working. Needless to say, instructions/website proved useless.  Don't go near it.",,Verified Purchase,,Style Name: HP DeskJet 2810ePattern Name: White,0,,,,,https://www.amazon.co.uk/HP-DeskJet-Wireless-included-Reliable/product-reviews/B0CFFBXYSH/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&formatType=current_format&pageNumber=1&filterByStar=one_star&sortBy=recent,2024-10-17,UK,1-2-3-star
HP DeskJet 2810e,No,Tassel Base,DeskJet,Amazon,Canon PIXMA TS3520,2024-10-10,KatW88,1,Don't bother!!!!,"Althought the printer is fine, i've Currently been on the phone for nearly two hours to HP customer service. This printers app doesn't work, they blame your phone/device. Printer sets up perfectly but you can't use it! Needed it asap but having to wait for someone to look into the app! Absolute joke!If this doesn't get sorted soon, I'll be sending it back and buying a totally different brand!",,Verified Purchase,,Style Name: HP DeskJet 2810ePattern Name: White,0,,,,,https://www.amazon.co.uk/HP-DeskJet-Wireless-included-Reliable/product-reviews/B0CFFBXYSH/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&formatType=current_format&pageNumber=1&filterByStar=one_star&sortBy=recent,2024-10-17,UK,1-2-3-star
HP DeskJet 2810e,No,Tassel Base,DeskJet,Amazon,Canon PIXMA TS3520,2024-10-09,paul stacey,1,not impressed,"being elderly, I do not possess the technical knowledge to do apps, or mess around with tiers of security codes, when I buy a printer i expect it work when I plug it in !!!!",,Verified Purchase,,Style Name: HP DeskJet 2810ePattern Name: White,0,,,,,https://www.amazon.co.uk/HP-DeskJet-Wireless-included-Reliable/product-reviews/B0CFFBXYSH/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&formatType=current_format&pageNumber=1&filterByStar=one_star&sortBy=recent,2024-10-17,UK,1-2-3-star
HP DeskJet 2810e,No,Tassel Base,DeskJet,Amazon,Canon PIXMA TS3520,2024-10-07,Amazon Customer,1,only works with WiFi,we wanted to use plugged in with a desktop and via Wifi for a laptop however it didn't work,,Verified Purchase,,Style Name: HP DeskJet 2810ePattern Name: White,0,,,,,https://www.amazon.co.uk/HP-DeskJet-Wireless-included-Reliable/product-reviews/B0CFFBXYSH/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&formatType=current_format&pageNumber=1&filterByStar=one_star&sortBy=recent,2024-10-17,UK,1-2-3-star
HP DeskJet 2810e,No,Tassel Base,DeskJet,Amazon,Canon PIXMA TS3520,2024-10-07,R S REDDY,1,Worst Customer service,when i activated my warranty its starting from previous month called to the HP team simly they said retailer activated how com amazon activated before customer purchase suppose if the customer bu after 9 months will get only 2 months so funny and the guy who chatted with me just im changing the date the problem is not about the date how come they activate my productvery disreputable servicenot at all happy,,Verified Purchase,,Style Name: HP DeskJet 2810ePattern Name: White,0,,,,,https://www.amazon.co.uk/HP-DeskJet-Wireless-included-Reliable/product-reviews/B0CFFBXYSH/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&formatType=current_format&pageNumber=1&filterByStar=one_star&sortBy=recent,2024-10-17,UK,1-2-3-star
HP DeskJet 2810e,No,Tassel Base,DeskJet,Amazon,Canon PIXMA TS3520,2024-10-06,Frederick Hall,1,Worst printer ever,This printer is terrible . So slow . Sometimes not connecting at all . So hard to print 1 sheet of paper . Stay away and buy something better,,Verified Purchase,,Style Name: HP DeskJet 2810ePattern Name: White,0,,,,,https://www.amazon.co.uk/HP-DeskJet-Wireless-included-Reliable/product-reviews/B0CFFBXYSH/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&formatType=current_format&pageNumber=1&filterByStar=one_star&sortBy=recent,2024-10-17,UK,1-2-3-star
HP DeskJet 2810e,No,Tassel Base,DeskJet,Amazon,Canon PIXMA TS3520,2024-10-03,The bluemogener,1,shocking printer,will not connect! terrible wifi module! dont buy!,,Verified Purchase,,Style Name: HP DeskJet 2810ePattern Name: White,0,,,,,https://www.amazon.co.uk/HP-DeskJet-Wireless-included-Reliable/product-reviews/B0CFFBXYSH/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&formatType=current_format&pageNumber=1&filterByStar=one_star&sortBy=recent,2024-10-17,UK,1-2-3-star
